Cuisine Class,Count,Percentage
North Indian,2992,31.326562663595436
Chinese,855,8.951942205004713
Fast Food,672,7.035912469898439
Other,653,6.836980420898335
Bakery,621,6.5019369699507905
Cafe,617,6.4600565385823465
American,278,2.910689980106795
South Indian,262,2.7431682546330225
Mithai,246,2.57564652915925
Street Food,236,2.4709454507381428
Continental,235,2.4604753428960318
Italian,234,2.450005235053921
Pizza,232,2.4290650193696997
Mughlai,215,2.2510731860538162
Ice Cream,178,1.8636791958957177
Desserts,150,1.570516176316616
Burger,116,1.2145325096848498
Biryani,112,1.1726520783164067
Raw Meats,110,1.1517118626321852
Beverages,79,0.8271385195267511
Finger Food,78,0.8166684116846403
Asian,77,0.8061983038425296
Japanese,72,0.7538477646319758
European,62,0.649146686210868
Mexican,62,0.649146686210868
Healthy Food,56,0.5863260391582034
Indian,51,0.5339754999476495
