Feature,Importance
num__Average Cost for two,0.15559040970206003
num__Latitude,0.14647453450868939
num__Longitude,0.14377157324090173
num__Votes,0.1403224487062047
num__Aggregate rating,0.11926760393790356
num__Price range,0.06484303090233641
cat__Has Online delivery_Yes,0.015355998946845872
cat__Has Online delivery_No,0.015163809669323548
cat__Has Table booking_Yes,0.01495064840660867
cat__Has Table booking_No,0.014422738284723149
cat__Country Code_1,0.010956774810977545
cat__Currency_Indian Rupees(Rs.),0.010745694265542843
cat__City_New Delhi,0.010090145520725981
cat__City_Gurgaon,0.008251823339097922
cat__City_Noida,0.006898918817862204
cat__Currency_Dollar($),0.00567172746313628
cat__Currency_Emirati Diram(AED),0.005467550560813045
cat__Country Code_214,0.0051267792702127234
cat__Country Code_216,0.004708735529825293
cat__Currency_Pounds(��),0.003894775140309539
cat__Country Code_215,0.0037199721421892103
cat__City_Faridabad,0.0028937250345900684
cat__City_Doha,0.002103848573783941
cat__City_Dubai,0.0020588463477921133
cat__City_Bangalore,0.002038853727852242
cat__City_Columbus,0.00194801274710631
cat__City_Chandigarh,0.0018823255922493767
cat__City_Macon,0.0018292415923678845
cat__City_Augusta,0.001715934198617005
cat__Country Code_166,0.0017019726947397138
cat__City_Pune,0.0016229493082443314
cat__Currency_Qatari Rial(QR),0.001555400234971175
cat__City_Valdosta,0.0014108561542618087
cat__City_Dubuque,0.0013965235372217879
cat__Currency_Rand(R),0.0013715042251517097
cat__Country Code_189,0.001333805495156299
cat__City_Waterloo,0.0013165687980556317
cat__Is delivering now_Yes,0.0013129483104690773
cat__City_Des Moines,0.0012861218033487936
cat__City_Hyderabad,0.0012003519805938695
cat__City_London,0.0011772363611435132
cat__Is delivering now_No,0.0011437751419063294
cat__City_Kolkata,0.0011253492841475185
cat__City_Chennai,0.0011069115542123652
cat__City_Kochi,0.0011060539061877967
cat__City_Varanasi,0.0010936961436489086
cat__City_Pretoria,0.00109290746912225
cat__City_Savannah,0.0010372666314093784
cat__City_Cape Town,0.001036109276790298
cat__City_Rest of Hawaii,0.001025194715790118
cat__Country Code_148,0.0010234539524046644
cat__City_Ghaziabad,0.0010189058659291457
cat__City_Pocatello,0.0010105587667482055
cat__City_Pensacola,0.0010042891594172405
cat__City_Kanpur,0.0009905445556902103
cat__City_Davenport,0.0009878075166079763
cat__Currency_NewZealand($),0.0009591915383023859
cat__City_Birmingham,0.0009435992045837061
cat__City_Mumbai,0.0008971291593341254
cat__City_Orlando,0.0008838086078799663
cat__City_Mandaluyong City,0.0008837201828838001
cat__Currency_Brazilian Real(R$),0.0008815513412129267
cat__City_Sioux City,0.0008761212638229526
cat__City_S��o Paulo,0.0008692473965237717
cat__City_Guwahati,0.0008612215583805477
cat__City_Albany,0.00085081297585968
cat__Country Code_30,0.000844446717062207
cat__Country Code_162,0.0008389576072956678
cat__City_Abu Dhabi,0.0008191989259093034
cat__City_Bras�_lia,0.0008134604220240432
cat__City_Manchester,0.0008046993639003401
cat__City_Tampa Bay,0.000803523608177877
cat__City_Boise,0.0007929613839652092
cat__City_Ahmedabad,0.0007730076340039547
cat__City_Johannesburg,0.0007671027731693487
cat__City_Cedar Rapids/Iowa City,0.0007454697754590284
cat__City_Edinburgh,0.0007131438701946358
cat__City_Ranchi,0.0007117595455632814
cat__Currency_Botswana Pula(P),0.000707716747274432
cat__City_Gainesville,0.0007050618063848235
cat__City_Auckland,0.0006590739911758643
cat__City_Bhubaneshwar,0.0006457856441371126
cat__City_Sandton,0.0006306781771675936
cat__City_Goa,0.0006223888792365877
cat__City_Jaipur,0.000616419175728541
cat__City_Lucknow,0.0006106380994973038
cat__City_Amritsar,0.0006081174578118828
cat__City_Dalton,0.0006022146832184446
cat__Country Code_208,0.0005980974714911159
cat__Currency_Turkish Lira(TL),0.0005663452586358165
cat__City_Aurangabad,0.0005376349798307692
cat__City_Cochrane,0.0005283740507706744
cat__City_��stanbul,0.000517539767494843
cat__City_Wellington City,0.0005168658504325276
cat__City_Mangalore,0.0005166271332134926
cat__City_Pasay City,0.0005017214997923579
cat__City_Surat,0.000501384839202159
cat__City_Jakarta,0.0004961699219737823
cat__City_Athens,0.0004935918204315555
cat__City_Sharjah,0.0004872992699597989
cat__City_Nagpur,0.00048346847719168675
cat__City_Mysore,0.00046962228093573637
cat__Currency_Indonesian Rupiah(IDR),0.00046683362448030237
cat__Country Code_14,0.00046582372598562055
cat__City_Singapore,0.0004647008705384976
cat__City_Vizag,0.000456214233457097
cat__City_Mayfield,0.0004521263144362765
cat__City_Patna,0.00044659657937177815
cat__City_Rio de Janeiro,0.00044415303811995286
cat__City_Dehradun,0.00042651064791780985
cat__City_Coimbatore,0.0004162167796784587
cat__City_Puducherry,0.00041461999279448326
cat__Country Code_191,0.00039266864350358754
cat__City_Agra,0.0003887948740034453
cat__City_Weirton,0.0003785197296064306
cat__Country Code_37,0.00037788055105053363
cat__City_Ludhiana,0.00037466293968023315
cat__City_Allahabad,0.0003743901691565647
cat__Country Code_184,0.00036719306777908614
cat__City_Inner City,0.0003552237595324793
cat__Country Code_94,0.00035479844760815803
cat__City_Makati City,0.0003251346809446256
cat__City_Inverloch,0.00031344841849147224
cat__City_Bhopal,0.0003124073508815289
cat__City_Vadodara,0.0003122412248068223
cat__City_Winchester Bay,0.00030299657805405627
cat__City_Colombo,0.00029902919487105454
cat__City_Ankara,0.0002921062545225151
cat__City_Yorkton,0.00028615870676272344
cat__Currency_Sri Lankan Rupee(LKR),0.000268821007907307
cat__City_Nashik,0.00025469250905916954
cat__City_Taguig City,0.00025188207726910755
cat__City_Indore,0.00024752297747363206
cat__City_Pasig City,0.00018719892955542362
cat__City_Hepburn Springs,0.00018014241905275785
cat__City_Santa Rosa,0.0001506077020155151
cat__City_Beechworth,0.00014968836788577618
cat__City_Clatskanie,0.00012694737210883715
cat__City_Ojo Caliente,0.00010735414449348246
cat__City_Potrero,0.00010298063680914035
cat__City_San Juan City,8.945777396976098e-05
cat__City_Mc Millan,8.338134327216687e-05
cat__City_Vineland Station,8.119335189708959e-05
cat__City_Vernonia,6.712343412547063e-05
cat__City_Miller,6.17292619541937e-05
cat__City_Randburg,6.088338342429842e-05
cat__City_Bandung,5.664035494684486e-05
cat__City_Penola,5.074632114030782e-05
cat__City_Bogor,4.729985773695572e-05
cat__City_Macedon,4.6899474454303556e-05
cat__City_Lincoln,4.458859819332571e-05
cat__City_Tanunda,4.250025525713488e-05
cat__City_East Ballina,3.638437152589429e-05
cat__City_Lakes Entrance,3.617334759088915e-05
cat__City_Forrest,3.294769569619794e-05
cat__City_Phillip Island,3.074914962440637e-05
cat__City_Quezon City,2.848304968664951e-05
cat__City_Armidale,2.7201794481714445e-05
cat__City_Trentham East,2.5990793986768033e-05
cat__City_Tangerang,2.4560344886283532e-05
cat__City_Victor Harbor,2.2982102742282114e-05
cat__City_Lorn,2.193278404160814e-05
cat__City_Flaxton,2.0626001988876757e-05
cat__City_Middleton Beach,1.975091084387903e-05
cat__City_Dicky Beach,1.7893859507409703e-05
cat__City_Paynesville,1.5970872850946643e-05
cat__City_Panchkula,4.105005992138826e-06
