,precision,recall,f1-score,support
American,0.2692307692307692,0.375,0.31343283582089554,56.0
Asian,0.05714285714285714,0.13333333333333333,0.08,15.0
Bakery,0.22727272727272727,0.12096774193548387,0.15789473684210525,124.0
Beverages,0.0392156862745098,0.125,0.05970149253731343,16.0
Biryani,0.0196078431372549,0.045454545454545456,0.0273972602739726,22.0
Burger,0.1,0.17391304347826086,0.12698412698412698,23.0
Cafe,0.2803030303030303,0.29838709677419356,0.2890625,124.0
Chinese,0.13513513513513514,0.029239766081871343,0.04807692307692308,171.0
Continental,0.1440677966101695,0.3617021276595745,0.20606060606060606,47.0
Desserts,0.14285714285714285,0.2,0.16666666666666666,30.0
European,0.05555555555555555,0.16666666666666666,0.08333333333333333,12.0
Fast Food,0.1891891891891892,0.05185185185185185,0.08139534883720931,135.0
Finger Food,0.17543859649122806,0.625,0.273972602739726,16.0
Healthy Food,0.07042253521126761,0.45454545454545453,0.12195121951219512,11.0
Ice Cream,0.11926605504587157,0.3611111111111111,0.1793103448275862,36.0
Indian,0.375,0.6,0.46153846153846156,10.0
Italian,0.13333333333333333,0.2127659574468085,0.16393442622950818,47.0
Japanese,0.13636363636363635,0.21428571428571427,0.16666666666666666,14.0
Mexican,0.07692307692307693,0.16666666666666666,0.10526315789473684,12.0
Mithai,0.16216216216216217,0.4897959183673469,0.2436548223350254,49.0
Mughlai,0.016129032258064516,0.046511627906976744,0.023952095808383235,43.0
North Indian,0.6153846153846154,0.0667779632721202,0.12048192771084337,599.0
Other,0.5,0.21374045801526717,0.2994652406417112,131.0
Pizza,0.1452991452991453,0.3695652173913043,0.2085889570552147,46.0
Raw Meats,0.07526881720430108,0.6363636363636364,0.1346153846153846,22.0
South Indian,0.08771929824561403,0.09433962264150944,0.09090909090909091,53.0
Street Food,0.2542372881355932,0.3191489361702128,0.2830188679245283,47.0
accuracy,0.16378859236002094,0.16378859236002094,0.16378859236002094,0.16378859236002094
macro avg,0.17046390091726854,0.25748646138592257,0.16730848506823015,1911.0
weighted avg,0.3302048175386299,0.16378859236002094,0.15525339989949224,1911.0
