City,Restaurant Count,Percentage
New Delhi,5240,57.87
Gurgaon,1070,11.82
Noida,987,10.9
Faridabad,229,2.53
Ghaziabad,25,0.28
Ahmedabad,21,0.23
Bras�_lia,20,0.22
Rio de Janeiro,20,0.22
S��o Paulo,20,0.22
Albany,20,0.22
Athens,20,0.22
Augusta,20,0.22
Boise,20,0.22
Cedar Rapids/Iowa City,20,0.22
Columbus,20,0.22
Dalton,20,0.22
Davenport,20,0.22
Des Moines,20,0.22
Dubuque,20,0.22
Gainesville,20,0.22
Macon,20,0.22
Orlando,20,0.22
Pensacola,20,0.22
Pocatello,20,0.22
Rest of Hawaii,20,0.22
Savannah,20,0.22
Singapore,20,0.22
Sioux City,20,0.22
Tampa Bay,20,0.22
Valdosta,20,0.22
Waterloo,20,0.22
Abu Dhabi,20,0.22
Dubai,20,0.22
Sharjah,20,0.22
Bangalore,20,0.22
Chennai,20,0.22
Coimbatore,20,0.22
Indore,20,0.22
Jaipur,20,0.22
Kochi,20,0.22
Kolkata,20,0.22
Mumbai,20,0.22
Puducherry,20,0.22
Pune,20,0.22
Surat,20,0.22
Auckland,20,0.22
Wellington City,20,0.22
Birmingham,20,0.22
Edinburgh,20,0.22
London,20,0.22
Manchester,20,0.22
Doha,20,0.22
Cape Town,20,0.22
Pretoria,20,0.22
Ankara,20,0.22
Mysore,19,0.21
Nagpur,19,0.21
Colombo,19,0.21
Chandigarh,18,0.2
Hyderabad,18,0.2
Kanpur,18,0.2
Ludhiana,18,0.2
Amritsar,17,0.19
Bhubaneshwar,17,0.19
Goa,17,0.19
Lucknow,17,0.19
Patna,17,0.19
Aurangabad,16,0.18
Ranchi,16,0.18
Allahabad,15,0.17
Guwahati,15,0.17
Vizag,15,0.17
Jakarta,15,0.17
Agra,14,0.15
Bhopal,14,0.15
Nashik,14,0.15
��stanbul,14,0.15
Dehradun,13,0.14
Varanasi,13,0.14
Mangalore,11,0.12
Sandton,11,0.12
Vadodara,10,0.11
Johannesburg,6,0.07
Mandaluyong City,4,0.04
Taguig City,4,0.04
Pasay City,3,0.03
Pasig City,3,0.03
Makati City,2,0.02
San Juan City,2,0.02
Santa Rosa,2,0.02
Hepburn Springs,2,0.02
Secunderabad,2,0.02
Bogor,2,0.02
Tangerang,2,0.02
Inner City,2,0.02
Quezon City,1,0.01
Tagaytay City,1,0.01
Armidale,1,0.01
Balingup,1,0.01
Beechworth,1,0.01
Chatham-Kent,1,0.01
Clatskanie,1,0.01
Cochrane,1,0.01
Consort,1,0.01
Dicky Beach,1,0.01
East Ballina,1,0.01
Fernley,1,0.01
Flaxton,1,0.01
Forrest,1,0.01
Huskisson,1,0.01
Inverloch,1,0.01
Lakes Entrance,1,0.01
Lakeview,1,0.01
Lincoln,1,0.01
Lorn,1,0.01
Macedon,1,0.01
Mayfield,1,0.01
Mc Millan,1,0.01
Middleton Beach,1,0.01
Miller,1,0.01
Monroe,1,0.01
Montville,1,0.01
Ojo Caliente,1,0.01
Palm Cove,1,0.01
Paynesville,1,0.01
Penola,1,0.01
Phillip Island,1,0.01
Potrero,1,0.01
Princeton,1,0.01
Tanunda,1,0.01
Trentham East,1,0.01
Vernonia,1,0.01
Victor Harbor,1,0.01
Vineland Station,1,0.01
Weirton,1,0.01
Winchester Bay,1,0.01
Yorkton,1,0.01
Mohali,1,0.01
Panchkula,1,0.01
Bandung,1,0.01
Randburg,1,0.01
