City,Restaurant_Count,Average_Price_Range,Average_Rating,Average_Rated_Rating,Rated_Restaurants
Abu Dhabi,20,3.3,4.3,4.3,20
Agra,14,2.5714285714285716,4.021428571428571,4.021428571428571,14
Ahmedabad,21,2.5714285714285716,4.161904761904762,4.161904761904762,21
Albany,20,1.7,3.5549999999999997,3.5549999999999997,20
Allahabad,15,2.6,3.4066666666666667,3.4066666666666667,15
Amritsar,17,1.9411764705882353,3.635294117647059,3.635294117647059,17
Ankara,20,2.8,4.305,4.305,20
Armidale,1,2.0,3.5,3.5,1
Athens,20,1.6,4.2,4.2,20
Auckland,20,3.05,4.275,4.275,20
Augusta,20,2.15,4.13,4.13,20
Aurangabad,16,2.25,3.3874999999999997,3.3874999999999997,16
Balingup,1,2.0,3.2,3.2,1
Bandung,1,3.0,4.2,4.2,1
Bangalore,20,2.7,4.375,4.375,20
Beechworth,1,2.0,4.6,4.6,1
Bhopal,14,2.0714285714285716,4.021428571428571,4.021428571428571,14
Bhubaneshwar,17,1.7647058823529411,3.929411764705882,3.929411764705882,17
Birmingham,20,2.4,3.6799999999999997,3.8736842105263154,19
Bogor,2,2.5,3.85,3.85,2
Boise,20,2.05,4.26,4.26,20
Bras�_lia,20,3.1,3.495,3.6789473684210527,19
Cape Town,20,3.2,4.11,4.11,20
Cedar Rapids/Iowa City,20,2.05,4.165,4.165,20
Chandigarh,18,2.5,4.050000000000001,4.050000000000001,18
Chatham-Kent,1,2.0,3.7,3.7,1
Chennai,20,2.45,4.3149999999999995,4.3149999999999995,20
Clatskanie,1,1.0,4.3,4.3,1
Cochrane,1,2.0,3.1,3.1,1
Coimbatore,20,2.4,4.135,4.135,20
Colombo,19,2.8421052631578947,3.8526315789473684,3.8526315789473684,19
Columbus,20,2.15,4.029999999999999,4.029999999999999,20
Consort,1,2.0,3.0,3.0,1
Dalton,20,1.4,4.11,4.11,20
Davenport,20,2.0,3.715,4.127777777777777,18
Dehradun,13,3.230769230769231,4.107692307692307,4.107692307692307,13
Des Moines,20,2.15,4.235,4.235,20
Dicky Beach,1,1.0,3.6,3.6,1
Doha,20,3.65,4.0600000000000005,4.0600000000000005,20
Dubai,20,3.05,4.37,4.37,20
Dubuque,20,1.9,3.535,3.535,20
East Ballina,1,2.0,4.1,4.1,1
Edinburgh,20,2.9,4.09,4.09,20
Faridabad,229,1.4759825327510918,1.991703056768559,3.1027210884353744,147
Fernley,1,1.0,3.7,3.7,1
Flaxton,1,3.0,3.5,3.5,1
Forrest,1,2.0,3.7,3.7,1
Gainesville,20,1.75,4.035,4.035,20
Ghaziabad,25,1.8,2.852,3.1,23
Goa,17,3.6470588235294117,4.2176470588235295,4.2176470588235295,17
Gurgaon,1070,1.8813084112149532,2.72196261682243,3.332379862700229,874
Guwahati,15,2.4,4.166666666666667,4.166666666666667,15
Hepburn Springs,2,1.5,3.8,3.8,2
Huskisson,1,2.0,4.1,4.1,1
Hyderabad,18,2.888888888888889,4.344444444444445,4.344444444444445,18
Indore,20,2.75,3.97,3.97,20
Inner City,2,4.0,4.9,4.9,2
Inverloch,1,1.0,3.7,3.7,1
Jaipur,20,2.85,4.13,4.13,20
Jakarta,15,3.0,4.42,4.42,15
Johannesburg,6,4.0,4.2,4.2,6
Kanpur,18,2.7777777777777777,3.827777777777778,3.827777777777778,18
Kochi,20,2.05,4.08,4.08,20
