City,Restaurant_Count,Average_Price_Range,Average_Rating,Average_Rated_Rating,Rated_Restaurants
New Delhi,5240,1.632442748091603,2.50206106870229,3.298314465408805,3975
Gurgaon,1070,1.8813084112149532,2.72196261682243,3.332379862700229,874
Noida,987,1.6281661600810537,2.1662613981762915,3.1581979320531754,677
Faridabad,229,1.4759825327510918,1.991703056768559,3.1027210884353744,147
Ghaziabad,25,1.8,2.852,3.1,23
Ahmedabad,21,2.5714285714285716,4.161904761904762,4.161904761904762,21
Augusta,20,2.15,4.13,4.13,20
Cedar Rapids/Iowa City,20,2.05,4.165,4.165,20
Auckland,20,3.05,4.275,4.275,20
Abu Dhabi,20,3.3,4.3,4.3,20
Albany,20,1.7,3.5549999999999997,3.5549999999999997,20
Athens,20,1.6,4.2,4.2,20
Ankara,20,2.8,4.305,4.305,20
Rest of Hawaii,20,2.35,4.41,4.41,20
Rio de Janeiro,20,3.5,4.265,4.489473684210526,19
Savannah,20,2.35,4.154999999999999,4.154999999999999,20
S��o Paulo,20,3.6,3.53,4.152941176470588,17
Surat,20,2.65,3.935,3.935,20
Sioux City,20,1.9,3.7649999999999997,3.7649999999999997,20
Chennai,20,2.45,4.3149999999999995,4.3149999999999995,20
Bangalore,20,2.7,4.375,4.375,20
Dalton,20,1.4,4.11,4.11,20
Doha,20,3.65,4.0600000000000005,4.0600000000000005,20
Dubuque,20,1.9,3.535,3.535,20
Des Moines,20,2.15,4.235,4.235,20
Columbus,20,2.15,4.029999999999999,4.029999999999999,20
Davenport,20,2.0,3.715,4.127777777777777,18
Boise,20,2.05,4.26,4.26,20
Birmingham,20,2.4,3.6799999999999997,3.8736842105263154,19
Dubai,20,3.05,4.37,4.37,20
Kolkata,20,2.85,4.255,4.255,20
London,20,3.0,4.535,4.535,20
Jaipur,20,2.85,4.13,4.13,20
Indore,20,2.75,3.97,3.97,20
Gainesville,20,1.75,4.035,4.035,20
Manchester,20,2.7,4.045,4.045,20
Macon,20,2.05,4.115,4.115,20
Kochi,20,2.05,4.08,4.08,20
Edinburgh,20,2.9,4.09,4.09,20
Coimbatore,20,2.4,4.135,4.135,20
Pocatello,20,1.8,3.4850000000000003,3.668421052631579,19
Orlando,20,2.9,4.475,4.475,20
Mumbai,20,2.75,4.085,4.085,20
Cape Town,20,3.2,4.11,4.11,20
Bras�_lia,20,3.1,3.495,3.6789473684210527,19
Pensacola,20,2.35,4.2,4.2,20
