Locality,Restaurant Count,Percentage
Connaught Place,122,1.35
Rajouri Garden,98,1.08
Malviya Nagar,85,0.94
Defence Colony,85,0.94
Pitampura,83,0.92
Shahdara,81,0.89
Rajinder Nagar,79,0.87
Karol Bagh,75,0.83
Satyaniketan,75,0.83
Sector 18,75,0.83
Mayur Vihar Phase 1,73,0.81
Hauz Khas,71,0.78
Kalkaji,71,0.78
Safdarjung,70,0.77
Sector 62,70,0.77
DLF Phase 3,68,0.75
Krishna Nagar,67,0.74
Sector 15,66,0.73
Greater Kailash (GK) 2,66,0.73
Mahipalpur,66,0.73
Chandni Chowk,65,0.72
Delhi University-GTB Nagar,65,0.72
Mukherjee Nagar,65,0.72
Greater Kailash (GK) 1,64,0.71
MG Road,63,0.7
Paharganj,62,0.68
Jail Road,61,0.67
Kamla Nagar,61,0.67
Najafgarh,60,0.66
Punjabi Bagh,60,0.66
Shalimar Bagh,60,0.66
Palam,59,0.65
Tilak Nagar,58,0.64
Uttam Nagar,58,0.64
Jangpura,57,0.63
Laxmi Nagar,57,0.63
Sector 72,57,0.63
Dilshad Garden,56,0.62
Paschim Vihar,56,0.62
Vikaspuri,56,0.62
Kirti Nagar,55,0.61
Vasundhara Enclave,52,0.57
Sector 56,50,0.55
Sector 14,48,0.53
East Patel Nagar,48,0.53
Naraina,48,0.53
Rohini,48,0.53
Sector 29,47,0.52
Netaji Subhash Place,47,0.52
Preet Vihar,47,0.52
Subhash Nagar,47,0.52
Sector 31,46,0.51
Janakpuri,46,0.51
Vijay Nagar,45,0.5
East of Kailash,45,0.5
Sector 110,45,0.5
Sector 37,44,0.49
Palam Vihar,44,0.49
Khan Market,44,0.49
IP Extension,43,0.47
Sector 41,42,0.46
Anand Vihar,42,0.46
Munirka,42,0.46
"Cyber Hub, DLF Cyber City",41,0.45
Sohna Road,41,0.45
Chittaranjan Park,41,0.45
Old Railway Road,40,0.44
Nangloi,40,0.44
Daryaganj,39,0.43
Green Park,39,0.43
Lajpat Nagar 1,39,0.43
Gujranwala Town,38,0.42
R K Puram,38,0.42
Greater Noida,38,0.42
Civil Lines,37,0.41
Janpath,37,0.41
South Extension 2,37,0.41
Sector 50,36,0.4
Udyog Vihar,36,0.4
New Friends Colony,36,0.4
Saket,36,0.4
Tagore Garden,36,0.4
"The Great India Place, Sector 38",36,0.4
Ashok Vihar Phase 1,35,0.39
Sector 45,34,0.38
GTB Nagar,34,0.38
Moti Nagar,33,0.36
Vivek Vihar,33,0.36
Sector 132,33,0.36
Chanakyapuri,32,0.35
Mayur Vihar Phase 3,32,0.35
Nehru Place,32,0.35
Vasant Vihar,31,0.34
Alaknanda,30,0.33
Sainik Farms,30,0.33
Mayur Vihar Phase 2,29,0.32
"DLF Mall of India, Sector 18,  Noida",29,0.32
Sector 12,28,0.31
Sushant Lok,28,0.31
Lodhi Colony,28,0.31
"Logix City Centre, Sector 32, Noida",28,0.31
Sector 17,27,0.3
DLF Phase 1,27,0.3
Golf Course Road,27,0.3
Geeta Colony,26,0.29
Jama Masjid,26,0.29
"Pacific Mall, Tagore Garden",26,0.29
Shahpur Jat,26,0.29
Shakarpur,26,0.29
"V3S Mall, Laxmi Nagar",26,0.29
Sector 16,25,0.28
Model Town 2,25,0.28
Sarita Vihar,25,0.28
"Select Citywalk Mall, Saket",25,0.28
Yusuf Sarai,25,0.28
"MGF Metropolitan Mall, MG Road",24,0.27
"Unitech Infospace, Sector 21, Gurgaon",24,0.27
Hauz Khas Village,24,0.27
Majnu ka Tila,24,0.27
Sector 7,23,0.25
"Moments Mall, Kirti Nagar",23,0.25
Sector 27,23,0.25
Karkardooma,22,0.24
Lajpat Nagar 2,22,0.24
Vasant Kunj,22,0.24
DLF Phase 4,21,0.23
"Epicuria Food Mall, Nehru Place",21,0.23
Jasola,21,0.23
Qutab Institutional Area,21,0.23
Sector 51,21,0.23
Athens,20,0.22
Dubuque,20,0.22
Valdosta,20,0.22
Sector 53,20,0.22
"Dilli Haat, INA",20,0.22
Kailash Colony,20,0.22
Mehrauli,20,0.22
Albany,19,0.21
Columbus,19,0.21
Sector 21,19,0.21
Sector 39,19,0.21
Lodhi Road,19,0.21
"Supertech Shopprix Mall, Sector 61",19,0.21
Boise,18,0.2
Savannah,18,0.2
Sioux City,18,0.2
Suraj Kund,18,0.2
"Sushant Shopping Arcade, Sushant Lok, Gurgaon",18,0.2
"Community Centre, New Friends Colony",18,0.2
Sector 44,18,0.2
"Shipra Mall, Indirapuram",17,0.19
Ardee City,17,0.19
"DLF Galleria, DLF Phase 4",17,0.19
"Supermart 1, DLF Phase 4",17,0.19
Pandav Nagar,17,0.19
Prashant Vihar,17,0.19
Sector 93,17,0.19
