City,Restaurant_Count,Average_Price_Range,Average_Rating,Average_Rated_Rating,Rated_Restaurants
New Delhi,5240,1.632442748091603,2.50206106870229,3.298314465408805,3975
Gurgaon,1070,1.8813084112149532,2.72196261682243,3.332379862700229,874
Noida,987,1.6281661600810537,2.1662613981762915,3.1581979320531754,677
Faridabad,229,1.4759825327510918,1.991703056768559,3.1027210884353744,147
Ghaziabad,25,1.8,2.852,3.1,23
Ahmedabad,21,2.5714285714285716,4.161904761904762,4.161904761904762,21
Augusta,20,2.15,4.13,4.13,20
Cedar Rapids/Iowa City,20,2.05,4.165,4.165,20
Auckland,20,3.05,4.275,4.275,20
Abu Dhabi,20,3.3,4.3,4.3,20
Albany,20,1.7,3.5549999999999997,3.5549999999999997,20
Athens,20,1.6,4.2,4.2,20
Ankara,20,2.8,4.305,4.305,20
Rest of Hawaii,20,2.35,4.41,4.41,20
Rio de Janeiro,20,3.5,4.265,4.489473684210526,19
